Alabama,2020-12-09,2021-01-22,2021-01-08
Alaska,N/A,N/A,2021-03-01
Arizona,N/A,N/A,2020-12-28
Arkansas,2020-12-29,2021-02-27,2021-01-05
California,2020-11-16,N/A,2021-01-13
Colorado,2020-12-14,2021-01-06,2021-01-29
Connecticut,2020-11-09,2021-02-09,2021-01-05
Delaware,2020-12-24,N/A,2021-01-19
Florida,N/A,N/A,2021-01-19
Georgia,N/A,N/A,2020-12-30
Hawaii,2020-12-16,2021-02-14,2021-02-19
Idaho,N/A,N/A,2021-01-12
Illinois,2020-12-11,2021-01-09,2021-01-06
IndiaN/A,2020-09-26,2020-10-17,2021-01-13
Iowa,2020-11-17,2020-12-10,2021-01-21
Kansas,2020-07-03,N/A,2021-01-07
Kentucky,2020-09-07,2020-10-07,2020-12-28
LouisiaN/A,2020-07-24,2020-08-07,2021-01-04
Maine,2020-05-31,N/A,2021-01-13
Maryland,2020-04-18,N/A,2021-01-18
Massachusetts,2020-08-18,N/A,2021-01-04
Michigan,2020-05-18,2020-05-28,2021-03-03
Minnesota,2020-07-24,N/A,2021-03-09
Mississippi,2020-08-17,2020-08-31,2021-01-06
Missouri,N/A,N/A,2021-01-18
MontaN/A,2020-07-15,N/A,2020-12-31
Nebraska,2020-11-11,N/A,2021-03-22
Nevada,2020-06-24,N/A,2021-01-11
New Hampshire,N/A,N/A,2021-01-14
New Jersey,2020-07-08,N/A,2020-12-04
New Mexico,2020-07-30,2020-08-28,2021-04-05
New York,2020-12-02,2021-01-01,2020-12-14
North CaroliN/A,2020-08-07,2020-09-11,2020-12-30
North Dakota,2020-12-09,2021-01-18,2021-03-22
Ohio,2020-07-23,N/A,2021-01-07
Oklahoma,2020-07-24,N/A,2021-02-12
Oregon,2020-08-13,N/A,2021-01-12
Pennsylvania,2020-04-19,N/A,2021-01-08
Rhode Island,N/A,N/A,2021-01-28
South CaroliN/A,N/A,N/A,2021-01-13
South Dakota,N/A,N/A,2021-02-03
Tennessee,N/A,N/A,2021-02-10
Texas,2020-07-03,N/A,2021-03-11
Utah,2020-12-18,2021-01-21,2021-01-11
Vermont,2020-09-11,2020-10-15,2021-01-15
Virginia,2020-05-29,N/A,2021-01-11
Washington,2020-07-01,2020-07-09,2021-01-31
West Virginia,2020-07-07,N/A,2021-01-06
Wisconsin,2020-08-01,2020-09-28,2021-01-25
Wyoming,N/A,N/A,2021-03-31
